City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
260,Caucaia,BR,80.01,clear sky,-3.7361,-38.6531,M.O.S. Logística - Filial Fortaleza
264,Kavaratti,IN,81.72,scattered clouds,10.5669,72.642,Hotels in Lakshadweep Islands
268,Isangel,VU,84.2,light rain,-19.55,169.2667,Volcano Sea View Tree House
269,Marawi,PH,80.01,broken clouds,7.9986,124.2928,Derogongan Residence
272,Madimba,TZ,75.2,moderate rain,-10.4,40.3333,
275,Vila Velha,BR,77.0,light rain,-20.3297,-40.2925,Hotel Vitória Palace
279,Rio Grande,BR,75.99,scattered clouds,-32.035,-52.0986,Hotel Atlântico Rio Grande
280,Nanakuli,US,78.8,clear sky,21.3906,-158.1547,Camp Pālehua
286,Burnie,AU,75.99,overcast clouds,-41.0667,145.9167,Beachfront Voyager Motor Inn
287,Champasak,LA,75.2,clear sky,14.75,106.0,Kiat Ngong Wetland BUNGALOW
291,Samarai,PG,87.22,broken clouds,-10.6167,150.6667,Nuli Sapi
293,Bambanglipuro,ID,85.96,broken clouds,-7.95,110.2833,Puri Brata
299,Presidencia Roque Saenz Pena,AR,84.0,broken clouds,-26.7852,-60.4388,Hotel Gualok
302,Maragogi,BR,76.3,overcast clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
303,Noumea,NC,86.0,overcast clouds,-22.2763,166.4572,Hôtel Le Lagon
304,Vao,NC,77.7,moderate rain,-22.6667,167.4833,Hotel Kou-Bugny
307,Namatanai,PG,86.04,broken clouds,-3.6667,152.4333,Namatanai Hotel
329,Tayu,ID,84.22,overcast clouds,-6.5397,111.0518,Toko pakaian bu is Tayu
332,Pointe Michel,DM,77.18,clear sky,15.25,-61.3833,Castle Comfort Lodge Dive Dominica
343,Gizo,SB,81.97,light rain,-8.103,156.8419,Imagination Island
346,Whakatane,NZ,80.01,clear sky,-37.9585,176.9854,Pacific Coast Motel
353,Maldonado,UY,75.99,scattered clouds,-34.6667,-54.9167,La Cimarrona
359,Olinda,BR,78.8,scattered clouds,-8.0089,-34.8553,Flat Quatro Rodas Olinda
370,Khategaon,IN,78.48,clear sky,22.6,76.9167,Sawariya Palace
371,Itarema,BR,77.2,broken clouds,-2.9248,-39.9167,Windvillage
375,Kloulklubed,PW,86.0,light rain,7.0419,134.2556,Storyboard Beach Resort
379,Manta,EC,77.0,broken clouds,-0.95,-80.7333,Balandra Hotel
387,Piopio,NZ,78.01,clear sky,-38.4667,175.0167,Owls Nest Motel
398,Luganville,VU,84.88,light rain,-15.5333,167.1667,The Espiritu Hotel
405,Gamba,GA,76.21,broken clouds,-2.65,10.0,
408,Tabou,CI,77.86,few clouds,4.423,-7.3528,hotêl doufoulougou
411,Caravelas,BR,75.34,clear sky,-17.7125,-39.2481,Pousada dos Navegantes
424,Buala,SB,83.59,moderate rain,-8.145,159.5921,Maringe Lagoon Lodge
426,Galle,LK,81.97,overcast clouds,6.0367,80.217,Amangalla
428,Nicoya,CR,77.0,broken clouds,10.1483,-85.45200000000001,Guayacan Real
432,Geraldton,AU,87.8,clear sky,-28.7667,114.6,Broadwater Mariner Resort
437,Miri,MY,84.2,scattered clouds,4.4148,114.0089,"Mega Hotel, Miri"
439,Monywa,MM,82.72,broken clouds,22.1167,95.1333,Monywa Hotel
444,Puri,IN,77.0,haze,19.8,85.85,OYO 1577 Hotel Shree Hari Grand
445,Meulaboh,ID,82.38,overcast clouds,4.1363,96.1285,Kost Pria
447,Kalmunai,LK,77.83,moderate rain,7.4167,81.8167,VS Villa
452,Sibolga,ID,84.67,light rain,1.7427,98.7792,Hotel Syariah CN Darussalam
456,Kieta,PG,84.81,moderate rain,-6.2167,155.6333,
457,Kahului,US,75.2,clear sky,20.8947,-156.47,Maui Seaside Hotel
460,Kathu,TH,86.0,scattered clouds,7.9178,98.3332,Novotel Phuket Resort
462,San Matias,BO,75.6,broken clouds,-16.3667,-58.4,"HOTEL ""SAN JOSE"""
472,Puerto Escondido,MX,75.2,clear sky,15.85,-97.0667,Aldea del Bazar Hotel and Spa
475,Kawalu,ID,84.79,moderate rain,-7.3817,108.2082,KOSAN UNGU UNSIK
477,Port Blair,IN,82.63,scattered clouds,11.6667,92.75,Welcomhotel Bay Island Port Blair
480,Omboue,GA,76.41,light rain,-1.5746,9.2618,Hotel Olako
484,Manakara,MG,80.51,few clouds,-22.1333,48.0167,La Residence Manakara
486,Oranjestad,AW,80.6,few clouds,12.524000000000001,-70.027,Divi Village Golf & Beach Resort
488,Flinders,AU,82.99,scattered clouds,-34.5833,150.8552,Shellharbour Resort & Conference Centre
490,Harper,LR,78.21,scattered clouds,4.375,-7.7169,Screensaver
503,Lethem,GY,75.07,broken clouds,3.3803,-59.7968,Savannah Inn
505,Hambantota,LK,82.4,scattered clouds,6.1241,81.1185,Bungalow 63
507,Saint-Pierre,RE,78.8,light rain,-21.3393,55.4781,Lindsey Hôtel
511,Bundaberg,AU,82.99,overcast clouds,-24.85,152.35,Takalvan Motel
512,Matara,LK,84.61,overcast clouds,5.9485,80.5353,Amaloh Boutique Resort
516,Pitimbu,BR,78.8,broken clouds,-7.4706,-34.8086,Reserva do Abiaí
522,Phangnga,TH,84.2,scattered clouds,8.4509,98.5298,Rattanapong Hotel
524,Sao Jose Da Coroa Grande,BR,76.89,overcast clouds,-8.8978,-35.1478,Crôa Mares Hotel
526,Ca Mau,VN,84.13,broken clouds,9.1769,105.15,Khách Sạn Mường Thanh Luxury Cà Mau
532,Sinnamary,GF,76.75,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
534,Yeppoon,AU,80.6,drizzle,-23.1333,150.7333,Villa Mar Colina
535,Gidam,IN,88.12,clear sky,18.9833,81.4,Dhanshree Lodge And DormItory
538,Port Macquarie,AU,80.01,few clouds,-31.4333,152.9167,Rydges Port Macquarie
546,Cap Malheureux,MU,84.0,light rain,-19.9842,57.6142,Pereybere Hotel & Spa
549,Manokwari,ID,83.48,overcast clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
559,Chaah,MY,77.14,overcast clouds,2.249,103.04799999999999,Chaah Homestay
568,Weligama,LK,84.74,overcast clouds,5.9667,80.4167,Weligama Bay Resort
575,Kiama,AU,82.99,broken clouds,-34.6833,150.8667,The Sebel Kiama Harbourside
577,Suba,PH,80.4,scattered clouds,10.8438,121.0102,Casita Bed and Grill
582,Quatre Cocos,MU,84.0,light rain,-20.2078,57.7625,Emeraude Beach Attitude Hotel
585,Inhambane,MZ,80.6,scattered clouds,-23.865,35.3833,Oceano
592,Mangrol,IN,75.9,few clouds,21.1167,70.1167,Hotel The Royal Honours
594,Saint-Joseph,RE,78.8,light rain,-21.3667,55.6167,"""Plantation Bed and Breakfast"
595,Kokoda,PG,83.82,moderate rain,-8.8785,147.7407,Daito Guest House
